"Gene Name","Protein IDs","H_vs_L_log2 fold change","H_vs_L_p.val","H_vs_L_p.adj","significant","H_vs_L_significant","imputed","num_NAs","Protein.names"
"deoR","P0ACK5",1.27,0.022,0.0419,TRUE,TRUE,TRUE,4,"Deoxyribose operon repressor"
"der","P0A6P5",1.43,2.98e-05,0.00125,TRUE,TRUE,FALSE,0,"GTPase Der"
"DERA","G3V158",-1.77,0.000153,0.00159,TRUE,TRUE,TRUE,3,"Putative deoxyribose-phosphate aldolase"
"dgt","P15723",1.39,0.000452,0.00292,TRUE,TRUE,FALSE,0,"Deoxyguanosinetriphosphate triphosphohydrolase"
"dhaK","P76015",1.36,0.002,0.00752,TRUE,TRUE,FALSE,0,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK"
"DHRS7B","Q6IAN0",1.35,0.0255,0.0469,TRUE,TRUE,TRUE,4,"Dehydrogenase/reductase SDR family member 7B"
"DHX35","F5GXM6",-1.44,3.05e-05,0.00125,TRUE,TRUE,FALSE,0,"Probable ATP-dependent RNA helicase DHX35"
"diaA","P66817",1.7,7.99e-05,0.0013,TRUE,TRUE,FALSE,0,"DnaA initiator-associating protein DiaA"
"dkgA","Q46857",1.17,0.000349,0.00254,TRUE,TRUE,FALSE,0,"2,5-diketo-D-gluconic acid reductase A"
"dksA","P0ABS1",1.09,0.002,0.00752,TRUE,TRUE,FALSE,0,"DnaK suppressor protein"
"dld","P06149",1.5,1.83e-05,0.00125,TRUE,TRUE,FALSE,0,"D-lactate dehydrogenase"
"DLD","F5H4I0",-1.17,0.00178,0.00695,TRUE,TRUE,FALSE,0,"Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial"
"dmsD","P69853",1.84,0.000397,0.00274,TRUE,TRUE,FALSE,0,"Tat proofreading chaperone DmsD"
"dnaA","P03004",1.09,0.00835,0.0203,TRUE,TRUE,FALSE,0,"Chromosomal replication initiator protein DnaA"
"DNAJB4","Q9UDY4",-1.35,0.000118,0.00147,TRUE,TRUE,FALSE,0,"DnaJ homolog subfamily B member 4"
"DNAJC19","Q96DA6",-1.47,0.00113,0.00514,TRUE,TRUE,FALSE,0,"Mitochondrial import inner membrane translocase subunit TIM14"
"dnaN","P0A988",1.15,0.00415,0.0123,TRUE,TRUE,FALSE,0,"DNA polymerase III subunit beta"
"dppA","P23847",1.19,7.64e-05,0.00129,TRUE,TRUE,FALSE,0,"Periplasmic dipeptide transport protein"
"dppD","P0AAG0",1.38,0.000109,0.00143,TRUE,TRUE,FALSE,0,"Dipeptide transport ATP-binding protein DppD"
"dppF","P37313",1.51,0.000345,0.00253,TRUE,TRUE,FALSE,0,"Dipeptide transport ATP-binding protein DppF"
"dps","P0ABT2",1.09,0.000347,0.00254,TRUE,TRUE,FALSE,0,"DNA protection during starvation protein"
"dsbA","P0AEG4",1.33,2.49e-05,0.00125,TRUE,TRUE,FALSE,0,"Thiol:disulfide interchange protein DsbA"
"dsbC","P0AEG6",1.2,0.0148,0.031,TRUE,TRUE,FALSE,0,"Thiol:disulfide interchange protein DsbC"
"dsbD","P36655",3.12,0.0189,0.0374,TRUE,TRUE,TRUE,1,"Thiol:disulfide interchange protein DsbD"
"dsbG","P77202",1.3,0.00166,0.0066,TRUE,TRUE,FALSE,0,"Thiol:disulfide interchange protein DsbG"
"DUS3L","Q96G46-2",-1.12,0.0029,0.00968,TRUE,TRUE,TRUE,1,"tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like"
"dut","P06968",1.22,0.0016,0.00644,TRUE,TRUE,FALSE,0,"Deoxyuridine 5-triphosphate nucleotidohydrolase"
"dxs","P77488",1.02,0.000561,0.00337,TRUE,TRUE,FALSE,0,"1-deoxy-D-xylulose-5-phosphate synthase"
"DYNLL1","P63167",-1.14,0.000373,0.00265,TRUE,TRUE,FALSE,0,"Dynein light chain 1, cytoplasmic"
"EBNA1BP2","Q99848",-1.09,0.000282,0.00224,TRUE,TRUE,FALSE,0,"Probable rRNA-processing protein EBP2"
"ECI2","O75521-2",-1.16,0.000559,0.00337,TRUE,TRUE,FALSE,0,"Enoyl-CoA delta isomerase 2, mitochondrial"
"eco","P23827",1.56,7.38e-05,0.00129,TRUE,TRUE,FALSE,0,"Ecotin"
"eda","P0A955",1.02,0.000187,0.00179,TRUE,TRUE,FALSE,0,"KHG/KDPG aldolase;4-hydroxy-2-oxoglutarate aldolase;2-dehydro-3-deoxy-phosphogluconate aldolase"
"EHBP1","Q8NDI1-3",1.06,0.0193,0.038,TRUE,TRUE,TRUE,4,"EH domain-binding protein 1"
"EIF1","P41567",-1.21,0.00375,0.0114,TRUE,TRUE,FALSE,0,"Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b"
"EIF2C2","Q9UKV8-2",-1.96,0.0193,0.0379,TRUE,TRUE,TRUE,1,"Protein argonaute-2"
"EIF3J","O75822",-1.02,0.00135,0.00579,TRUE,TRUE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit J"
"EIF3K","B7ZAM9",-1.18,0.0036,0.0112,TRUE,TRUE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit K"
"EIF3L","G8JLH4",-1.14,0.000853,0.00434,TRUE,TRUE,FALSE,0,"Eukaryotic translation initiation factor 3 subunit L"
"EIF4A2","Q14240",-1,0.00206,0.00766,TRUE,TRUE,FALSE,0,"Eukaryotic initiation factor 4A-II"
"EML3","Q32P44",-1.5,0.00958,0.0225,TRUE,TRUE,TRUE,1,"Echinoderm microtubule-associated protein-like 3"
"engB","P0A6P7",1.14,0.00324,0.0104,TRUE,TRUE,FALSE,0,"Probable GTP-binding protein EngB"
"engD","P0ABU2",1.16,3.04e-05,0.00125,TRUE,TRUE,FALSE,0,"GTP-dependent nucleic acid-binding protein engD"
"ENO2","B7Z2X9",-1.29,0.0112,0.0252,TRUE,TRUE,FALSE,0,"Enolase;Gamma-enolase"
"entB","P0ADI4",1.54,0.00109,0.00506,TRUE,TRUE,FALSE,0,"Isochorismatase"
"entE","P10378",1.34,4.51e-05,0.00125,TRUE,TRUE,FALSE,0,"Enterobactin synthase component E;2,3-dihydroxybenzoate-AMP ligase;S-dihydroxybenzoyltransferase"
"entF","P11454",1.36,0.0117,0.026,TRUE,TRUE,FALSE,0,"Enterobactin synthase component F"
"envC","P37690",1.24,0.0266,0.0484,TRUE,TRUE,TRUE,2,"Murein hydrolase activator EnvC"
"envZ","P0AEJ4",1.99,0.000211,0.0019,TRUE,TRUE,FALSE,0,"Osmolarity sensor protein EnvZ"
"epd","P0A9B6",1.3,0.00323,0.0103,TRUE,TRUE,FALSE,0,"D-erythrose-4-phosphate dehydrogenase"
"eutB","P0AEJ6",1.72,0.000291,0.00228,TRUE,TRUE,FALSE,0,"Ethanolamine ammonia-lyase heavy chain"
"eutC","P19636",1.62,0.000983,0.00475,TRUE,TRUE,TRUE,3,"Ethanolamine ammonia-lyase light chain"
"EVPL","Q92817",-1.04,0.021,0.0404,TRUE,TRUE,FALSE,0,"Envoplakin"
"EXOSC7","Q15024",-1.07,0.003,0.00986,TRUE,TRUE,FALSE,0,"Exosome complex component RRP42"
"EXOSC8","Q96B26",-1.01,0.0148,0.031,TRUE,TRUE,FALSE,0,"Exosome complex component RRP43"
"fabA","P0A6Q3",1.28,8.72e-05,0.00131,TRUE,TRUE,FALSE,0,"3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase"
"fabB","P0A953",1.41,0.000198,0.00185,TRUE,TRUE,FALSE,0,"3-oxoacyl-[acyl-carrier-protein] synthase 1"
"fabD","P0AAI9",1.28,6.49e-05,0.00125,TRUE,TRUE,FALSE,0,"Malonyl CoA-acyl carrier protein transacylase"
"fabF","P0AAI5",1.45,0.000124,0.00148,TRUE,TRUE,FALSE,0,"3-oxoacyl-[acyl-carrier-protein] synthase 2"
"fabG","P0AEK2",1.32,3.09e-05,0.00125,TRUE,TRUE,FALSE,0,"3-oxoacyl-[acyl-carrier-protein] reductase FabG"
"fabH","P0A6R0",1.11,8.7e-05,0.00131,TRUE,TRUE,FALSE,0,"3-oxoacyl-[acyl-carrier-protein] synthase 3"
"fabI","P0AEK4",1.46,4.3e-05,0.00125,TRUE,TRUE,FALSE,0,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI"
"fabZ","P0A6Q6",1.12,0.000234,0.00201,TRUE,TRUE,FALSE,0,"(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase"
"fadA","P21151",1.35,0.000217,0.00194,TRUE,TRUE,FALSE,0,"3-ketoacyl-CoA thiolase"
"fadB","P21177",1.27,2.45e-05,0.00125,TRUE,TRUE,FALSE,0,"Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase"
"fadD","P69451",1.83,1.6e-05,0.00125,TRUE,TRUE,FALSE,0,"Long-chain-fatty-acid--CoA ligase"
"fadE","Q47146",1.45,2.79e-05,0.00125,TRUE,TRUE,FALSE,0,"Acyl-coenzyme A dehydrogenase"
"fadH","P42593",1.42,0.000306,0.00236,TRUE,TRUE,FALSE,0,"2,4-dienoyl-CoA reductase [NADPH]"
"fadI","P76503",1.7,1.2e-05,0.00125,TRUE,TRUE,FALSE,0,"3-ketoacyl-CoA thiolase"
"fadJ","P77399",1.13,0.00193,0.00734,TRUE,TRUE,FALSE,0,"Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase"
"fadL","P10384",2.24,6.85e-05,0.00127,TRUE,TRUE,FALSE,0,"Long-chain fatty acid transport protein"
"fadM","P77712",2.15,6.16e-05,0.00125,TRUE,TRUE,FALSE,0,"Long-chain acyl-CoA thioesterase FadM"
"fadR","P0A8V6",1.38,0.000225,0.00198,TRUE,TRUE,FALSE,0,"Fatty acid metabolism regulator protein"
"FAM105B","Q96BN8",-1.64,0.00274,0.00933,TRUE,TRUE,FALSE,0,"Protein FAM105B"
"fbaB","P0A991",1.32,2.71e-05,0.00125,TRUE,TRUE,FALSE,0,"Fructose-bisphosphate aldolase class 1"
"fbp","P0A993",1.22,0.000113,0.00145,TRUE,TRUE,FALSE,0,"Fructose-1,6-bisphosphatase class 1"
"fdhE","P13024",1.36,0.0031,0.0101,TRUE,TRUE,FALSE,0,"Protein FdhE"
"fdnG","P24183",5.84,0.000226,0.00198,TRUE,TRUE,TRUE,3,"Formate dehydrogenase, nitrate-inducible, major subunit"
"fdoG","P32176",1.12,0.000275,0.00221,TRUE,TRUE,FALSE,0,"Formate dehydrogenase-O major subunit"
"feaB","P80668",1.2,0.000959,0.00467,TRUE,TRUE,FALSE,0,"Phenylacetaldehyde dehydrogenase"
"fecA","P13036",1.92,1.78e-05,0.00125,TRUE,TRUE,FALSE,0,"Fe(3+) dicitrate transport protein FecA"
"FECH","P22830",-1.53,0.00578,0.0155,TRUE,TRUE,FALSE,0,"Ferrochelatase, mitochondrial"
"fic","P20605",1.41,0.000737,0.00396,TRUE,TRUE,FALSE,0,"Probable adenosine monophosphate-protein transferase fic"
"FKBP15","Q5T1M5",1.1,0.00294,0.00977,TRUE,TRUE,FALSE,0,"FK506-binding protein 15"
"FKBP5","B7Z8G2",-1.48,0.0151,0.0314,TRUE,TRUE,TRUE,1,"Peptidyl-prolyl cis-trans isomerase FKBP5;Peptidyl-prolyl cis-trans isomerase"
"fklB","P0A9L3",1.27,6.64e-05,0.00125,TRUE,TRUE,FALSE,0,"FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase"
"fkpB","P0AEM0",1.53,0.00561,0.0152,TRUE,TRUE,FALSE,0,"FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase"
"fldA","P61949",2,0.00012,0.00147,TRUE,TRUE,FALSE,0,"Flavodoxin-1"
"fliY","P0AEM9",1.31,3.51e-05,0.00125,TRUE,TRUE,FALSE,0,"Cystine-binding periplasmic protein"
"flu","P39180",1.06,0.000119,0.00147,TRUE,TRUE,FALSE,0,"Antigen 43;Antigen 43 alpha chain;Antigen 43 beta chain"
"fmt","P23882",1.42,0.00316,0.0102,TRUE,TRUE,FALSE,0,"Methionyl-tRNA formyltransferase"
"focA","P0AC23",3.99,0.0202,0.0393,TRUE,TRUE,TRUE,1,"Probable formate transporter 1"
"folA","P0ABQ4",4.5,2.61e-06,0.00125,TRUE,TRUE,TRUE,3,"Dihydrofolate reductase"
"folC","P08192",1.26,0.000227,0.00198,TRUE,TRUE,FALSE,0,"Bifunctional protein folC;Folylpolyglutamate synthase;Dihydrofolate synthase"
"folD","P24186",1.49,8.01e-05,0.0013,TRUE,TRUE,FALSE,0,"Bifunctional protein FolD;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase"
"folE","P0A6T5",1.5,0.000103,0.0014,TRUE,TRUE,FALSE,0,"GTP cyclohydrolase 1"
"folP","P0AC13",1.21,0.0057,0.0154,TRUE,TRUE,FALSE,0,"Dihydropteroate synthase"
"folX","P0AC19",3,1.41e-05,0.00125,TRUE,TRUE,FALSE,0,"D-erythro-7,8-dihydroneopterin triphosphate epimerase"
"fpr","P28861",1.26,0.000268,0.00217,TRUE,TRUE,FALSE,0,"Ferredoxin--NADP reductase"
"frdC","P0A8Q0",1.07,0.000247,0.00205,TRUE,TRUE,FALSE,0,"Fumarate reductase subunit C"
"fre","P0AEN1",1.39,0.000108,0.00143,TRUE,TRUE,FALSE,0,"NAD(P)H-flavin reductase"
"frmR","P0AAP3",1.09,0.00656,0.017,TRUE,TRUE,FALSE,0,"Transcriptional repressor frmR"
"frr","P0A805",1.32,0.000204,0.00187,TRUE,TRUE,FALSE,0,"Ribosome-recycling factor"
"frsA","P04335",1.15,0.000423,0.00283,TRUE,TRUE,FALSE,0,"Esterase FrsA"
"fruA","P20966",1.15,0.00344,0.0108,TRUE,TRUE,FALSE,0,"PTS system fructose-specific EIIBC component;Fructose-specific phosphotransferase enzyme IIB component;Fructose permease IIC component"
"ftnA","P0A998",1.05,0.000383,0.00267,TRUE,TRUE,FALSE,0,"Ferritin-1"
"ftsE","P0A9R7",2.25,0.000261,0.00213,TRUE,TRUE,FALSE,0,"Cell division ATP-binding protein FtsE"
"ftsH","P0AAI3",1.27,0.000199,0.00186,TRUE,TRUE,FALSE,0,"ATP-dependent zinc metalloprotease FtsH"
"FTSJD1","Q8IYT2",-1.66,0.000442,0.00291,TRUE,TRUE,TRUE,3,"FtsJ methyltransferase domain-containing protein 1"
"ftsP","P26648",1.3,0.00807,0.0198,TRUE,TRUE,FALSE,0,"Cell division protein FtsP"
"ftsX","P0AC30",1.14,0.000108,0.00143,TRUE,TRUE,FALSE,0,"Cell division protein FtsX"
"ftsY","P10121",1.51,2.15e-05,0.00125,TRUE,TRUE,FALSE,0,"Signal recognition particle receptor FtsY"
"ftsZ","P0A9A6",1.21,9.22e-05,0.00134,TRUE,TRUE,FALSE,0,"Cell division protein FtsZ"
"fucO","P0A9S1",1.17,0.0194,0.0381,TRUE,TRUE,FALSE,0,"Lactaldehyde reductase"
"fucU","P0AEN8",1.05,0.000589,0.00346,TRUE,TRUE,FALSE,0,"L-fucose mutarotase"
"fumA","P0AC33",1.25,0.000958,0.00467,TRUE,TRUE,FALSE,0,"Fumarate hydratase class I, aerobic"
"fumC","P05042",1.35,2.58e-05,0.00125,TRUE,TRUE,FALSE,0,"Fumarate hydratase class II"
"fur","P0A9A9",1.36,5.74e-05,0.00125,TRUE,TRUE,FALSE,0,"Ferric uptake regulation protein"
"fusA","P0A6M8",1.14,6.19e-05,0.00125,TRUE,TRUE,FALSE,0,"Elongation factor G"
"FUSIP1","O75494-5",-5.69,1.94e-06,0.00125,TRUE,TRUE,TRUE,3,"Serine/arginine-rich splicing factor 10"
"gabD","P25526",1.21,0.000238,0.00204,TRUE,TRUE,FALSE,0,"Succinate-semialdehyde dehydrogenase [NADP(+)] GabD"
"gabT","P22256",1.06,9.19e-05,0.00134,TRUE,TRUE,FALSE,0,"4-aminobutyrate aminotransferase GabT"
"gadC","P63235",1.01,0.000433,0.00287,TRUE,TRUE,FALSE,0,"Probable glutamate/gamma-aminobutyrate antiporter"
"galF","P0AAB6",1.52,1.63e-05,0.00125,TRUE,TRUE,FALSE,0,"UTP--glucose-1-phosphate uridylyltransferase"
"GALK1","P51570",-1.1,0.000806,0.00422,TRUE,TRUE,FALSE,0,"Galactokinase"
"galM","P0A9C3",1.22,5.43e-05,0.00125,TRUE,TRUE,FALSE,0,"Aldose 1-epimerase"
"galP","P0AEP1",1.18,0.0121,0.0266,TRUE,TRUE,FALSE,0,"Galactose-proton symporter"
"galR","P03024",2.26,0.00278,0.00942,TRUE,TRUE,FALSE,0,"HTH-type transcriptional regulator GalR"
"galS","P25748",1.12,0.00121,0.00542,TRUE,TRUE,FALSE,0,"HTH-type transcriptional regulator GalS"
"galT","P09148",1.07,0.000141,0.00154,TRUE,TRUE,FALSE,0,"Galactose-1-phosphate uridylyltransferase"
"galU","P0AEP3",1.31,2.05e-05,0.00125,TRUE,TRUE,FALSE,0,"UTP--glucose-1-phosphate uridylyltransferase"
"gapA","P0A9B2",1.17,9.03e-05,0.00133,TRUE,TRUE,FALSE,0,"Glyceraldehyde-3-phosphate dehydrogenase A"
"GAPDH","E7EUT4",-4.58,0.00022,0.00195,TRUE,TRUE,TRUE,1,"Glyceraldehyde-3-phosphate dehydrogenase"
"GAR1","Q9NY12-2",-1.23,0.000228,0.00198,TRUE,TRUE,FALSE,0,"H/ACA ribonucleoprotein complex subunit 1"
"garR","P0ABQ2",1.18,0.000726,0.00393,TRUE,TRUE,FALSE,0,"2-hydroxy-3-oxopropionate reductase"
"gatD","P0A9S3",1.76,0.00062,0.00359,TRUE,TRUE,FALSE,0,"Galactitol-1-phosphate 5-dehydrogenase"
"gatY","P0C8J6",1.19,0.000428,0.00285,TRUE,TRUE,FALSE,0,"D-tagatose-1,6-bisphosphate aldolase subunit GatY"
"gcp","P05852",1.44,7.19e-05,0.00127,TRUE,TRUE,FALSE,0,"Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp"
"gcvH","P0A6T9",1.42,0.00224,0.0081,TRUE,TRUE,FALSE,0,"Glycine cleavage system H protein"
"gcvP","P33195",1.29,3.47e-05,0.00125,TRUE,TRUE,FALSE,0,"Glycine dehydrogenase [decarboxylating]"
"gcvR","P0A9I3",3.57,7.25e-05,0.00127,TRUE,TRUE,FALSE,0,"Glycine cleavage system transcriptional repressor"
"gcvT","P27248",1.36,4.49e-05,0.00125,TRUE,TRUE,FALSE,0,"Aminomethyltransferase"
"gdhA","P00370",1.28,0.00014,0.00153,TRUE,TRUE,FALSE,0,"NADP-specific glutamate dehydrogenase"
"GDI1","P31150",-1.48,0.0139,0.0295,TRUE,TRUE,FALSE,0,"Rab GDP dissociation inhibitor alpha"
"GEMIN8","Q9NWZ8",1.94,0.0119,0.0262,TRUE,TRUE,TRUE,2,"Gem-associated protein 8"
"ggt","P18956",1.13,0.0259,0.0474,TRUE,TRUE,FALSE,0,"Gamma-glutamyltranspeptidase;Gamma-glutamyltranspeptidase large chain;Gamma-glutamyltranspeptidase small chain"
"ghrA","P75913",1.11,0.000582,0.00345,TRUE,TRUE,FALSE,0,"Glyoxylate/hydroxypyruvate reductase A"
"ghrB","P37666",1.2,3.47e-05,0.00125,TRUE,TRUE,FALSE,0,"Glyoxylate/hydroxypyruvate reductase B"
"glcB","P37330",1.27,4.02e-05,0.00125,TRUE,TRUE,FALSE,0,"Malate synthase G"
"gldA","P0A9S5",1.05,0.000597,0.0035,TRUE,TRUE,FALSE,0,"Glycerol dehydrogenase"
"glf","P37747",1.05,0.0011,0.00507,TRUE,TRUE,FALSE,0,"UDP-galactopyranose mutase"
"glgB","P07762",1.21,5.71e-05,0.00125,TRUE,TRUE,FALSE,0,"1,4-alpha-glucan branching enzyme GlgB"
"glgC","P0A6V1",1.24,0.000132,0.00152,TRUE,TRUE,FALSE,0,"Glucose-1-phosphate adenylyltransferase"
"glgP","P0AC86",1.66,5.11e-06,0.00125,TRUE,TRUE,FALSE,0,"Glycogen phosphorylase"
"glgX","P15067",1.2,0.0152,0.0316,TRUE,TRUE,FALSE,0,"Glycogen debranching enzyme"
"glk","P0A6V8",1.55,0.00038,0.00266,TRUE,TRUE,FALSE,0,"Glucokinase"
"glmM","P31120",1.41,6.12e-05,0.00125,TRUE,TRUE,FALSE,0,"Phosphoglucosamine mutase"
"glmS","P17169",1.14,9.54e-05,0.00135,TRUE,TRUE,FALSE,0,"Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]"
"glmU","P0ACC7",1.39,9.52e-05,0.00135,TRUE,TRUE,FALSE,0,"Bifunctional protein GlmU;UDP-N-acetylglucosamine pyrophosphorylase;Glucosamine-1-phosphate N-acetyltransferase"
"glnA","P0A9C5",1.44,3.84e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutamine synthetase"
"glnB","P0A9Z1",1.09,8.22e-05,0.0013,TRUE,TRUE,FALSE,0,"Nitrogen regulatory protein P-II 1"
"glnD","P27249",1.84,0.00476,0.0136,TRUE,TRUE,FALSE,0,"[Protein-PII] uridylyltransferase"
"glnE","P30870",1,0.00886,0.0212,TRUE,TRUE,FALSE,0,"Glutamate-ammonia-ligase adenylyltransferase"
"glnG","P0AFB8",1.47,0.00334,0.0106,TRUE,TRUE,FALSE,0,"Nitrogen regulation protein NR(I)"
"glnH","P0AEQ3",1.12,0.000448,0.00292,TRUE,TRUE,FALSE,0,"Glutamine-binding periplasmic protein"
"glnP","P0AEQ6",1.25,0.00566,0.0154,TRUE,TRUE,FALSE,0,"Glutamine transport system permease protein glnP"
"glnQ","P10346",1.2,0.00194,0.00738,TRUE,TRUE,FALSE,0,"Glutamine transport ATP-binding protein GlnQ"
"glnS","P00962",1.41,3.38e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutamine--tRNA ligase"
"gloB","P0AC84",1.22,0.000115,0.00145,TRUE,TRUE,FALSE,0,"Hydroxyacylglutathione hydrolase"
"glpD","P13035",1.91,0.000546,0.00332,TRUE,TRUE,FALSE,0,"Aerobic glycerol-3-phosphate dehydrogenase"
"glpK","P0A6F3",1.22,7.29e-05,0.00127,TRUE,TRUE,FALSE,0,"Glycerol kinase"
"glpR","P0ACL0",1.37,2.48e-05,0.00125,TRUE,TRUE,FALSE,0,"Glycerol-3-phosphate regulon repressor"
"glpT","P08194",1.16,0.00221,0.008,TRUE,TRUE,FALSE,0,"Glycerol-3-phosphate transporter"
"glpX","P0A9C9",1.69,0.00162,0.0065,TRUE,TRUE,FALSE,0,"Fructose-1,6-bisphosphatase 1 class 2"
"GLRX5","Q86SX6",-1.71,0.0125,0.0273,TRUE,TRUE,FALSE,0,"Glutaredoxin-related protein 5, mitochondrial"
"gltA","P0ABH7",1.13,0.000375,0.00265,TRUE,TRUE,FALSE,0,"Citrate synthase"
"gltB","P09831",1.17,0.000135,0.00152,TRUE,TRUE,FALSE,0,"Glutamate synthase [NADPH] large chain"
"gltD","P09832",1.35,3.97e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutamate synthase [NADPH] small chain"
"gltJ","P0AER3",2.19,2.43e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutamate/aspartate transport system permease protein gltJ"
"gltK","P0AER5",1.64,0.000442,0.0029,TRUE,TRUE,FALSE,0,"Glutamate/aspartate transport system permease protein gltK"
"gltX","P04805",1.06,0.000246,0.00205,TRUE,TRUE,FALSE,0,"Glutamate--tRNA ligase"
"glyA","P0A825",1.12,0.000362,0.00259,TRUE,TRUE,FALSE,0,"Serine hydroxymethyltransferase"
"glyQ","P00960",1,0.000575,0.00344,TRUE,TRUE,FALSE,0,"Glycine--tRNA ligase alpha subunit"
"glyS","P00961",1.38,2.24e-05,0.00125,TRUE,TRUE,FALSE,0,"Glycine--tRNA ligase beta subunit"
"gmhA","P63224",1.41,4.35e-05,0.00125,TRUE,TRUE,FALSE,0,"Phosphoheptose isomerase"
"gmk","P60546",1.16,0.000428,0.00285,TRUE,TRUE,FALSE,0,"Guanylate kinase"
"GNB2","P62879",-2.01,4e-05,0.00125,TRUE,TRUE,FALSE,0,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2"
"gnd","P00350",1.04,8.04e-05,0.0013,TRUE,TRUE,FALSE,0,"6-phosphogluconate dehydrogenase, decarboxylating"
"gntK","P46859",2.7,0.0133,0.0286,TRUE,TRUE,TRUE,4,"Thermoresistant gluconokinase"
"gntR","P0ACP5",2.31,0.00094,0.00462,TRUE,TRUE,FALSE,0,"HTH-type transcriptional regulator GntR"
"gor","P06715",1.25,8.13e-05,0.0013,TRUE,TRUE,FALSE,0,"Glutathione reductase"
"gph","P32662",1.92,0.00239,0.00849,TRUE,TRUE,FALSE,0,"Phosphoglycolate phosphatase"
"gpmA","P62707",1.18,6.2e-05,0.00125,TRUE,TRUE,FALSE,0,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
"gpmB","P0A7A2",2.42,0.0233,0.0439,TRUE,TRUE,TRUE,2,"Probable phosphoglycerate mutase GpmB"
"gpmI","P37689",1.58,0.000119,0.00147,TRUE,TRUE,FALSE,0,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
"gppA","P25552",1.13,0.000712,0.00388,TRUE,TRUE,FALSE,0,"Guanosine-5-triphosphate,3-diphosphate pyrophosphatase"
"gpr","Q46851",1.36,2.89e-05,0.00125,TRUE,TRUE,FALSE,0,"L-glyceraldehyde 3-phosphate reductase"
"gpt","P0A9M5",1.23,5.02e-05,0.00125,TRUE,TRUE,FALSE,0,"Xanthine phosphoribosyltransferase"
"greA","P0A6W5",1.35,4.69e-05,0.00125,TRUE,TRUE,FALSE,0,"Transcription elongation factor GreA"
"groL","P0A6F5",1.03,6.7e-05,0.00125,TRUE,TRUE,FALSE,0,"60 kDa chaperonin"
"groS","P0A6F9",1.06,0.000928,0.00458,TRUE,TRUE,FALSE,0,"10 kDa chaperonin"
"grpE","P09372",1.26,0.000118,0.00147,TRUE,TRUE,FALSE,0,"Protein grpE"
"grxB","P0AC59",1.17,7.22e-05,0.00127,TRUE,TRUE,FALSE,0,"Glutaredoxin-2"
"grxC","P0AC62",1.17,0.000128,0.0015,TRUE,TRUE,FALSE,0,"Glutaredoxin-3"
"grxD","P0AC69",1.13,0.000865,0.00437,TRUE,TRUE,FALSE,0,"Glutaredoxin-4"
"gshA","P0A6W9",1.6,9.4e-05,0.00135,TRUE,TRUE,FALSE,0,"Glutamate--cysteine ligase"
"gsiB","P75797",1.47,5.29e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutathione-binding protein gsiB"
"gsk","P0AEW6",2.21,0.00061,0.00356,TRUE,TRUE,FALSE,0,"Inosine-guanosine kinase"
"gsp","P0AES0",1.09,0.000668,0.00375,TRUE,TRUE,FALSE,0,"Bifunctional glutathionylspermidine synthetase/amidase;Glutathionylspermidine synthase;Glutathionylspermidine amidase"
"gstA","P0A9D2",1.12,7.62e-05,0.00129,TRUE,TRUE,FALSE,0,"Glutathione S-transferase GstA"
"gstB","P0ACA7",1.82,2.63e-05,0.00125,TRUE,TRUE,FALSE,0,"Glutathione S-transferase GstB"
"GTF2IRD1","Q9UHL9-2",-1.48,0.0246,0.0456,TRUE,TRUE,TRUE,1,"General transcription factor II-I repeat domain-containing protein 1"
"guaA","P04079",1.11,8.29e-05,0.0013,TRUE,TRUE,FALSE,0,"GMP synthase [glutamine-hydrolyzing]"
"guaB","P0ADG7",1.49,2.51e-05,0.00125,TRUE,TRUE,FALSE,0,"Inosine-5-monophosphate dehydrogenase"
